time,speed,Voltage_V,Current_A,Power_W,wattHour_Wh,loadVoltage_V,current_A,power_W,avgMotorCurrent
00:00:00,0.00,0.00,0.00,0.00,0.00,26.92,0.02,0.52,0.00
00:00:00,0.01,25.60,0.00,0.00,0.00,26.92,0.02,0.58,-15.55
00:00:00,0.01,25.60,0.00,0.00,0.00,26.92,0.03,0.75,0.07
00:00:00,0.00,25.60,0.00,0.00,0.00,26.92,0.04,1.10,0.07
00:00:01,0.00,25.60,0.00,0.00,0.00,26.92,0.03,0.78,0.07
00:00:02,0.00,25.60,0.00,0.00,0.00,26.92,0.03,0.70,0.07
00:00:03,0.00,25.60,0.00,0.00,0.00,26.92,0.03,0.81,0.06
00:00:04,0.00,25.60,0.00,0.00,0.00,26.92,0.02,0.64,0.07
00:00:05,0.00,25.60,0.00,0.00,0.00,26.92,0.03,0.87,0.07
00:00:06,0.00,25.60,0.00,0.00,0.00,26.92,0.03,0.78,0.07
00:00:07,0.00,25.60,0.00,0.00,0.00,26.92,0.03,0.84,0.07
00:00:08,0.00,25.60,0.00,0.00,0.00,26.93,0.02,0.61,0.07
00:00:09,0.00,25.60,0.00,0.00,0.00,26.92,0.02,0.64,0.07
00:00:10,0.00,25.60,0.00,0.00,0.00,26.93,0.03,0.75,0.07
00:00:11,0.00,25.60,0.00,0.00,0.00,26.93,0.04,1.11,0.06
00:00:12,0.00,25.60,0.00,0.00,0.00,26.93,0.04,1.04,0.06
00:00:13,0.00,25.60,0.00,0.00,0.00,26.93,0.04,1.01,0.07
00:00:14,0.00,25.60,0.00,0.00,0.00,26.93,0.03,0.75,0.07
00:00:15,0.00,25.60,0.00,0.00,0.00,26.93,0.02,0.60,0.07
00:00:15,0.00,25.60,0.00,0.00,0.00,26.93,0.03,0.85,0.07
00:00:16,0.00,25.60,0.00,0.00,0.00,26.92,0.03,0.82,0.07
00:00:17,0.00,25.60,0.00,0.00,0.00,26.93,0.03,0.78,0.07
00:00:18,0.00,25.60,0.00,0.00,0.00,26.93,0.03,0.85,0.07
00:00:19,0.00,25.60,0.00,0.00,0.00,26.93,0.03,0.72,0.06
00:00:20,0.00,25.60,0.00,0.00,0.00,26.93,0.02,0.46,0.07
00:00:21,0.00,25.60,0.00,0.00,0.00,26.93,0.04,1.13,0.07
00:00:22,0.00,25.50,0.00,0.00,0.00,26.93,0.02,0.58,0.06
00:00:23,0.00,25.60,0.00,0.00,0.00,26.93,0.04,1.14,0.07
00:00:24,0.00,25.60,0.00,0.00,0.00,26.93,0.05,1.22,0.07
00:00:25,0.00,25.60,0.00,0.00,0.00,26.93,0.05,1.22,0.06
00:00:26,0.00,25.60,0.00,0.00,0.00,26.93,0.04,1.08,0.07
00:00:27,0.00,25.60,0.00,0.00,0.00,26.93,0.03,0.84,0.07
00:00:27,0.00,25.60,0.00,0.00,0.00,26.93,0.03,0.96,0.09
00:00:00,0.00,25.60,0.00,0.00,0.00,26.93,0.03,1.02,0.09
00:00:00,0.00,25.60,0.00,0.00,0.00,26.93,0.03,0.87,0.09
00:00:00,0.00,25.60,0.00,0.00,0.00,26.93,0.03,0.78,0.09
00:00:01,0.00,25.60,0.00,0.00,0.00,26.93,0.03,0.79,0.09
00:00:02,0.04,25.90,0.55,14.24,0.00,26.58,1.80,47.85,5.66
